portal	method	path	title	handler	confidence	functional_note	controller_file	controller_method	params
商户后台	POST	mer/activity/label/batch_create	batchCreate	merchant.store.StoreActivityLabel/batchCreate	high		app/controller/merchant/store/StoreActivityLabel.php	batchCreate	product_ids,label_ids,type
商户后台	GET	mer/activity/label/options	options	merchant.store.StoreActivityLabel/options	high		app/controller/merchant/store/StoreActivityLabel.php	options	
商户后台	GET	mer/activity/label/select	select	merchant.store.StoreActivityLabel/select	high		app/controller/merchant/store/StoreActivityLabel.php	select	
商户后台	GET	mer/ajcaptcha	ajcaptcha	api.Auth/ajcaptcha	high		app/controller/api/Auth.php	ajcaptcha	captchaType
商户后台	POST	mer/ajcheck	ajcheck	api.Auth/ajcheck	high		app/controller/api/Auth.php	ajcheck	token,pointJson,captchaType
商户后台	POST	mer/ajstatus	ajCaptchaStatus	merchant.system.admin.Login/ajCaptchaStatus	high		app/controller/merchant/system/admin/Login.php	ajCaptchaStatus	account
商户后台	GET	mer/analytics/order/line_chart	折线图统计	admin.analytics.StoreOrder/lineChart	high		app/controller/admin/analytics/StoreOrder.php	lineChart	date
商户后台	GET	mer/analytics/order/pie_chart/:type	折线图统计	admin.analytics.StoreOrder/typePieCahrt	high		app/controller/admin/analytics/StoreOrder.php	typePieCahrt	type,date
商户后台	GET	mer/analytics/order/top	顶部统计	admin.analytics.StoreOrder/top	high		app/controller/admin/analytics/StoreOrder.php	top	date
商户后台	GET	mer/analytics/product/line_chart	折线图统计	admin.analytics.StoreProduct/lineChart	high		app/controller/admin/analytics/StoreProduct.php	lineChart	date
商户后台	GET	mer/analytics/product/pie_chart/:type	折线图统计	admin.analytics.StoreProduct/typePieCahrt	high		app/controller/admin/analytics/StoreProduct.php	typePieCahrt	type
商户后台	GET	mer/analytics/product/top	顶部统计	admin.analytics.StoreProduct/top	high		app/controller/admin/analytics/StoreProduct.php	top	date
商户后台	GET	mer/applyments/areas	areas	merchant.system.MerchantApplyments/areas	high		app/controller/merchant/system/MerchantApplyments.php	areas	province_code
商户后台	GET	mer/applyments/banks	banks	merchant.system.MerchantApplyments/banks	high		app/controller/merchant/system/MerchantApplyments.php	banks	type,limit,offset
商户后台	GET	mer/applyments/banks/branches	branches	merchant.system.MerchantApplyments/branches	high		app/controller/merchant/system/MerchantApplyments.php	branches	bank_alias_code,city_code,limit,offset
商户后台	GET	mer/applyments/check	查询审核结果	merchant.system.MerchantApplyments/check	high		app/controller/merchant/system/MerchantApplyments.php	check	
商户后台	POST	mer/applyments/create	申请	merchant.system.MerchantApplyments/create	high		app/controller/merchant/system/MerchantApplyments.php	create	type
商户后台	GET	mer/applyments/detail	详情	merchant.system.MerchantApplyments/detail	high		app/controller/merchant/system/MerchantApplyments.php	detail	
商户后台	GET	mer/applyments/index	index	merchant.system.MerchantApplyments/index	high		app/controller/merchant/system/MerchantApplyments.php	index	
商户后台	POST	mer/applyments/update/:id	编辑	merchant.system.MerchantApplyments/update	high		app/controller/merchant/system/MerchantApplyments.php	update	id,type
商户后台	POST	mer/applyments/upload/:field	上传图片	merchant.system.MerchantApplyments/uploadImage	high		app/controller/merchant/system/MerchantApplyments.php	uploadImage	field,water
商户后台	POST	mer/applyments/upload/video/:field	上传视频	merchant.system.MerchantApplyments/uploadVideo	high		app/controller/merchant/system/MerchantApplyments.php	uploadVideo	field
商户后台	POST	mer/auto_label/create	添加	merchant.user.LabelRule/create	high		app/controller/merchant/user/LabelRule.php	create	label_name,min,max,type,data
