file	name	alias	path	auth
admin/accounts.php	systemMerchantApplymentsLst	分账商户申请列表		
admin/accounts.php	systemMerchantApplymentsDetail	分账商户申请详情		
admin/accounts.php	systemMerchantApplymentsStatus	分账商户申请审核		
admin/accounts.php	systemMerchantApplymentsGet	分账商户审核查询		false
admin/accounts.php	systemMerchantApplymentsMarrk	分账商户申请备注表单		false
admin/accounts.php	systemMerchantApplymentsMarrkSave	分账商户申请备注		
admin/accounts.php	systemOrderProfitsharingLst	列表		
admin/accounts.php	systemOrderProfitsharingAgain	重新分账		
admin/accounts.php	systemOrderProfitsharingExport	导出		
admin/accounts.php	systemOrderProfitsharingGetConfig	配置信息		
admin/accounts.php	systemOrderProfitsharingSetConfig	配置保存		
admin/accounts.php	systemUserExtractLst	申请列表		
admin/accounts.php	systemUserExtractSwitchStatusForm	审核表单		false
admin/accounts.php	systemUserExtractSwitchStatus	审核		
admin/accounts.php	systemUserExtractExport	导出		
admin/accounts.php	systemUserExtractDetail	详情		
admin/accounts.php	systemOrderReceiptList	列表		
admin/accounts.php	systemOrderReceiptDetail	详情		
admin/accounts.php	systemUserRechargeList	列表		
admin/accounts.php	systemUserRechargeTotal	统计		
admin/accounts.php	systemUserBillList	列表		
admin/accounts.php	systemUserBillExport	导出		
admin/accounts.php	systemFinancialRecordLst	列表		
admin/accounts.php	systemFinancialRecordTitle	统计		
admin/accounts.php	systemFinancialRecordDetail	详情		
admin/accounts.php	systemFinancialRecordDetailExport	导出		
admin/accounts.php	systemFinancialRecordMerLst	商户列表		
admin/accounts.php	systemFinancialRecordMerAcountsLst	商户统计		
admin/accounts.php	systemFinancialRecordMerTitle	商户财务头部统计		
admin/accounts.php	systemFinancialRecordMerDetail	商户财务详情		
admin/accounts.php	systemFinancialRecordMerExcel	商户财务导出		
admin/accounts.php	systemFinancialRecordList	列表		
admin/accounts.php	systemFinancialRecordExport	导出		
admin/accounts.php	systemFinancialCount	统计		
admin/accounts.php	systemFinancialList	列表		
admin/accounts.php	systemFinancialDetail	详情		
admin/accounts.php	systemFinancialUpdate	编辑		
admin/accounts.php	systemFinancialMarkForm	备注表单		false
admin/accounts.php	systemFinancialMark	备注		
admin/accounts.php	systemFinancialTitle	统计		
admin/accounts.php	systemFinancialExport	导出		
admin/analytics.php	systemAnalyticsOrderTop	顶部统计		
admin/analytics.php	systemAnalyticsOrderLineChart	折线图统计		
admin/analytics.php	systemAnalyticsOrderTypePieChart	折线图统计		
admin/analytics.php	systemAnalyticsProductTop	顶部统计		
admin/analytics.php	systemAnalyticsProductLineChart	折线图统计		
admin/analytics.php	systemAnalyticsProductTypePieChart	折线图统计		
admin/analytics.php	systemAnalyticsUserTop	顶部统计		
admin/analytics.php	systemAnalyticsUserLineChart	折线图统计		
admin/analytics.php	systemAnalyticsUserTypePieChart	折线图统计		
admin/article.php	systemArticleCategoryCreateForm	文章分类添加表单		false
admin/article.php	systemArticleCategoryLst	文章分类列表		
admin/article.php	systemArticleCategoryCreate	文章分类添加		
admin/article.php	systemArticleCategoryUpdateForm	文章分类编辑表单		false
admin/article.php	systemArticleCategoryUpdate	文章分类编辑		
admin/article.php	systemArticleCategoryStatus	文章分类修改状态		
admin/article.php	systemArticleCategoryDelete	文章分类删除		
admin/article.php	systemArticleCategoryDetail	文章分类详情		
admin/article.php	systemArticlArticleLst	文章列表		
admin/article.php	systemArticleArticleCreate	文章添加		
admin/article.php	systemArticArticleleUpdate	文章编辑		
admin/article.php	systemArticArticleleDelete	文章删除		
admin/article.php	systemArticArticleleDetail	文章详情		
admin/article.php	systemArticlArticlStatus	文章修改状态		
admin/attachment.php	uploadImage	上传图片	/config/picture	
admin/attachment.php	systemAttachmentScanQrcode	上传二维码		
admin/attachment.php	systemAttachmentScanImage	扫码上传图片		
admin/attachment.php	systemAttachmentScanImageSave	扫码上传保存		
admin/attachment.php	systemAttachmentOnline	在线图片		
admin/attachment.php	systemAttachmentLst	素材列表		
admin/attachment.php	systemAttachmentDelete	素材删除		
admin/attachment.php	systemAttachmentBatchChangeCategory	批量移动		
admin/attachment.php	systemAttachmentUpdateForm	素材编辑表单		false
admin/attachment.php	systemAttachmentUpdate	素材编辑		
admin/attachment.php	systemAttachmentCategoryGetFormatList	素材分类列表		
admin/attachment.php	systemAttachmentCategoryCreateForm	素材分类添加表单		false
admin/attachment.php	systemAttachmentCategoryUpdateForm	素材分类编辑表单		false
admin/attachment.php	systemAttachmentCategoryCreate	素材分类添加		
admin/attachment.php	systemAttachmentCategoryUpdate	素材编辑		
admin/attachment.php	systemAttachmentCategoryDelete	素材删除		
admin/circle.php	systemCircleList	商圈列表		
admin/circle.php	systemCircleDetail	商圈详情		
admin/circle.php	systemCircleCreate	商圈添加		
admin/circle.php	systemCircleUpdate	商圈编辑		
admin/circle.php	systemCircleDelete	商圈删除		
admin/circle.php	systemCircleSwitch	商圈状态切换		
admin/circle.php	systemCircleMerchantList	关联商户列表		
admin/circle.php	systemCircleAgentList	商圈代理列表		
admin/circle.php	systemCircleAgentDetail	商圈代理详情		
admin/circle.php	systemCircleAgentCreate	商圈代理添加		
admin/circle.php	systemCircleAgentUpdate	商圈代理编辑		
admin/circle.php	systemCircleAgentDelete	商圈代理删除		
admin/circle.php	systemCircleAgentMerchant	关联商户列表		
admin/circle.php	systemCircleAgentOptions	代理选项		
admin/circle.php	systemCircleAgentResetPassword	重置密码		
admin/circle.php	systemCircleAgentAudit	商圈代理审核		
admin/circle.php	systemCircleAgentGetSettlementMethod	结算方式get		
admin/circle.php	systemCircleAgentSetSettlementMethod	结算方式post		
admin/circle.php	systemCircleCheckoutList	结算记录列表		
admin/circle.php	systemCircleCheckoutDetail	结算记录详情		
admin/circle.php	systemCircleCheckoutAudit	平台结算审核		
admin/circle.php	systemCircleCheckoutTransfer	平台转账		
admin/circle.php	systemCircleCheckoutPlatformRemark	平台备注		
admin/circle.php	systemCircleCheckoutCreate	商圈申请结算获取余额		
admin/circle.php	systemCircleCheckoutSave	商圈申请结算提交		
admin/circle.php	systemCircleCheckoutRevoke	商圈撤销结算		
admin/circle.php	systemCircleCheckoutRemark	商圈备注		
admin/circle.php	systemCircleFinancialRecordList	商圈提成流水列表		
admin/community.php	systemCommunityLst	文章列表		
admin/community.php	systemCommunityDetail	文章详情		
admin/community.php	systemCommunityUpdateForm	文章编辑表单		false
admin/community.php	systemCommunityUpdate	文章编辑		
admin/community.php	systemCommunityDelete	文章删除		
admin/community.php	systemCommunityStatusForm	修改状态表单		false
admin/community.php	systemCommunityStatus	修改状态		
admin/community.php	systemCommunityShow	文章详情		
admin/community.php	systemCommunityTitle	统计		
admin/community.php	systemCommunityCategoryLst	社区分类状态		
admin/community.php	systemCommunityCategoryCreateForm	社区分类添加表单		false
admin/community.php	systemCommunityCategoryCreate	社区分类添加		
admin/community.php	systemCommunityCategoryUpdateForm	社区分类编辑表单		false
admin/community.php	systemCommunityCategoryUpdate	社区分类编辑		
admin/community.php	systemCommunityCategoryDetail	社区分类详情		
admin/community.php	systemCommunityCategoryDelete	社区分类删除		
admin/community.php	systemCommunityCategoryStatus	社区分类修改状态		
admin/community.php	systemCommunityTopicLst	社区话题		
admin/community.php	systemCommunityTopicCreateForm	社区话题添加表单		false
admin/community.php	systemCommunityTopicCreate	社区话题添加		
admin/community.php	systemCommunityTopicUpdateForm	社区话题编辑表单		false
admin/community.php	systemCommunityTopicUpdate	社区话题编辑		
admin/community.php	systemCommunityTopicDetail	社区话题详情 		
admin/community.php	systemCommunityTopicDelete	社区话题删除		
admin/community.php	systemCommunityTopicStatus	社区话题修改状态		
admin/community.php	systemCommunityTopicHot	社区话题推荐		
admin/community.php	systemCommunityReplyLst	社区评论列表		
admin/community.php	systemCommunityReply	内容评论列表		
admin/community.php	systemCommunityReplyDelete	社区评论删除		
admin/community.php	systemCommunityReplyStatusForm	社区评论审核表单		false
admin/community.php	systemCommunityReplyStatus	社区评论审核		
admin/config.php	configForm	获取配置信息		false
admin/config.php	configSave	编辑配置信息		true
admin/config.php	configForm	获取配置		false
admin/config.php	configClassifyCreateForm	配置分类添加表单		false
admin/config.php	configClassifyCreate	配置分类添加		
admin/config.php	configClassifyDelete	配置分类删除		
admin/config.php	configClassifyUpdate	配置分类编辑		
admin/config.php	configClassifyUpdateForm	配置分类编辑表单		false
admin/config.php	configClassifySwitchStatus	配置分类修改状态		
admin/config.php	configClassifyLst	配置分类列表		
admin/config.php	configSettingCreateForm	配置添加表单		false
admin/config.php	configSettingCreate	配置添加		
admin/config.php	configSettingUpdate	配置编辑		
admin/config.php	configSettingUpdateForm	配置编辑表单		false
admin/config.php	configSettingSwitchStatus	配置修改状态		
admin/config.php	configSettingLst	配置列表		
admin/config.php	configSettingDelete	配置删除		
admin/coupon.php	systemStoreCouponLst	列表		
admin/coupon.php	systemCouponIssue	使用记录	/marketing/coupon/user	
admin/coupon.php	systemCouponDetail	详情		
admin/coupon.php	systemCouponProduct	商品列表		
admin/coupon.php	systemCouponCreateForm	添加表单		false
admin/coupon.php	systemCouponCreate	添加		
admin/coupon.php	systemCouponUpdateForm	编辑表单		false
admin/coupon.php	systemCouponUpdate	编辑		
admin/coupon.php	systemCouponDelete	删除		
admin/coupon.php	systemCouponStatus	修改状态		
admin/coupon.php	systemCouponList	列表		
admin/coupon.php	systemCouponShow	详情		
admin/coupon.php	systemCouponIssue	使用记录	/marketing/platform_coupon/couponRecord	
admin/coupon.php	systemCouponCloneForm	复制表单		false
admin/coupon.php	systemCouponShowLst	详情关联列表		
admin/coupon.php	systemCouponSend	发送优惠券	/user/list	true
admin/coupon.php	systemCouponSendLst	发送记录	/marketing/platform_coupon/couponSend	
admin/delivery.php	systemDeliveryConfigForm	配置表单		false
admin/delivery.php	systemDeliveryConfigSave	编辑配置	/systemForm/delivery	
admin/delivery.php	systemDeliveryStationlst	门店列表	/delivery/station	
admin/delivery.php	systemDeliveryStationDetail	门店详情	/delivery/station	
