portal	module_path	page	page_route	action	crud	source	identifier
平台后台	内容	内容	/content	(页面入口)	R	待补	
平台后台	内容 / 文章	文章	/cms	文章分类详情	R	路由	systemArticleCategoryDetail
平台后台	内容 / 文章	文章	/cms	文章列表	R	路由	systemArticlArticleLst
平台后台	内容 / 文章	文章	/cms	文章添加	C	路由	systemArticleArticleCreate
平台后台	内容 / 文章	文章	/cms	文章编辑	U	路由	systemArticArticleleUpdate
平台后台	内容 / 文章	文章	/cms	文章删除	D	路由	systemArticArticleleDelete
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类列表	R	菜单权限	systemArticleCategoryLst
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类添加	C	菜单权限	systemArticleCategoryCreate
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类编辑	U	菜单权限	systemArticleCategoryUpdate
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类修改状态	U	菜单权限	systemArticleCategoryStatus
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类删除	D	菜单权限	systemArticleCategoryDelete
平台后台	内容 / 文章 / 文章分类	文章分类	/cms/articleCategory	文章分类详情	R	菜单权限	systemArticleCategoryDetail
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章列表	R	菜单权限	systemArticlArticleLst
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章添加	C	菜单权限	systemArticleArticleCreate
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章编辑	U	菜单权限	systemArticArticleleUpdate
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章删除	D	菜单权限	systemArticArticleleDelete
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章详情	R	菜单权限	systemArticArticleleDetail
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	文章修改状态	U	菜单权限	systemArticlArticlStatus
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	上传图片	C	菜单权限	uploadImage
平台后台	内容 / 文章 / 文章管理	文章管理	/cms/article	素材列表	R	菜单权限	systemAttachmentLst
平台后台	内容 / 社区	社区	/community	文章详情	R	路由	systemCommunityShow
平台后台	内容 / 社区	社区	/community	统计	R	路由	systemCommunityTitle
平台后台	内容 / 社区	社区	/community	社区分类状态	U	路由	systemCommunityCategoryLst
平台后台	内容 / 社区	社区	/community	社区分类添加表单	C	路由	systemCommunityCategoryCreateForm
平台后台	内容 / 社区	社区	/community	社区分类添加	C	路由	systemCommunityCategoryCreate
平台后台	内容 / 社区	社区	/community	社区分类编辑表单	U	路由	systemCommunityCategoryUpdateForm
平台后台	内容 / 社区	社区	/community	社区分类编辑	U	路由	systemCommunityCategoryUpdate
平台后台	内容 / 社区	社区	/community	社区分类详情	R	路由	systemCommunityCategoryDetail
平台后台	内容 / 社区	社区	/community	社区分类删除	D	路由	systemCommunityCategoryDelete
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	文章列表	R	菜单权限	systemCommunityLst
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	文章详情	R	菜单权限	systemCommunityDetail
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	文章编辑	U	菜单权限	systemCommunityUpdate
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	文章删除	D	菜单权限	systemCommunityDelete
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	修改状态	U	菜单权限	systemCommunityStatus
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	文章详情	RU	菜单权限	systemCommunityShow
平台后台	内容 / 社区 / 社区内容	社区内容	/community/list	统计	R	菜单权限	systemCommunityTitle
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类状态	RU	菜单权限	systemCommunityCategoryLst
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类添加	C	菜单权限	systemCommunityCategoryCreate
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类编辑	U	菜单权限	systemCommunityCategoryUpdate
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类详情	R	菜单权限	systemCommunityCategoryDetail
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类删除	D	菜单权限	systemCommunityCategoryDelete
平台后台	内容 / 社区 / 社区分类	社区分类	/community/category	社区分类修改状态	U	菜单权限	systemCommunityCategoryStatus
平台后台	内容 / 社区 / 社区评论	社区评论	/community/reply	社区评论列表	R	菜单权限	systemCommunityReplyLst
平台后台	内容 / 社区 / 社区评论	社区评论	/community/reply	社区评论删除	D	菜单权限	systemCommunityReplyDelete
平台后台	内容 / 社区 / 社区评论	社区评论	/community/reply	社区评论审核	U	菜单权限	systemCommunityReplyStatus
平台后台	内容 / 社区 / 社区评论	社区评论	/community/reply	内容评论列表	R	菜单权限	systemCommunityReply
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题	R	菜单权限	systemCommunityTopicLst
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题添加	C	菜单权限	systemCommunityTopicCreate
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题编辑	U	菜单权限	systemCommunityTopicUpdate
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题详情 	R	菜单权限	systemCommunityTopicDetail
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题删除	D	菜单权限	systemCommunityTopicDelete
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题修改状态	U	菜单权限	systemCommunityTopicStatus
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	社区话题推荐	U	菜单权限	systemCommunityTopicHot
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	上传图片	C	菜单权限	uploadImage
平台后台	内容 / 社区 / 社区话题	社区话题	/community/topic	图片列表	R	菜单权限	systemAttachmentLst
平台后台	内容 / 社区 / 社区配置	社区配置	/systemForm/Basics/community	编辑配置信息	CU	菜单权限	configSave
平台后台	分销	分销	/promoter	记录	R	路由	systemSpreadOrderStatus
平台后台	分销	分销	/promoter	关联订单	R	路由	systemSpreadOrderChildrenList
平台后台	分销	分销	/promoter	列表	R	路由	systemOrderLst
平台后台	分销	分销	/promoter	金额统计	R	路由	systemOrderStat
平台后台	分销	分销	/promoter	快递查询	R	路由	systemOrderExpress
平台后台	分销	分销	/promoter	头部统计	R	路由	systemOrderTitle
平台后台	分销	分销	/promoter	详情	R	路由	systemOrderDetail
平台后台	分销	分销	/promoter	导出	R	路由	systemOrderExcel
平台后台	分销 / 佣金说明	佣金说明	/promoter/commission	佣金说明	C	菜单权限	systemAgreeSave
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	分销员列表	R	菜单权限	systemPromoterUserLst
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	分销员统计	R	菜单权限	systemPromoterUserCount
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	修改分销员等级	CRU	菜单权限	systemUserSpreadSave
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	推广人列表	R	菜单权限	systemUserSpreadLst
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	推广人订单	R	菜单权限	systemUserSpreadOrder
平台后台	分销 / 分销员列表	分销员列表	/promoter/user	清除推广人	RD	菜单权限	systemUserSpreadClear
平台后台	分销 / 分销海报	分销海报	/group/config/68	详情	R	菜单权限	groupDetail
平台后台	分销 / 分销海报	分销海报	/group/config/68	列表	R	菜单权限	groupDataLst
平台后台	分销 / 分销海报	分销海报	/group/config/68	添加	C	菜单权限	groupDataCreate
平台后台	分销 / 分销海报	分销海报	/group/config/68	编辑	U	菜单权限	groupDataUpdate
平台后台	分销 / 分销海报	分销海报	/group/config/68	删除	D	菜单权限	groupDataDelete
平台后台	分销 / 分销海报	分销海报	/group/config/68	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	分销 / 分销海报	分销海报	/group/config/68	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 分销海报	分销海报	/group/config/68	图片列表	R	菜单权限	systemAttachmentLst
平台后台	分销 / 分销特权	分销特权	/group/config/75	详情	R	菜单权限	groupDetail
平台后台	分销 / 分销特权	分销特权	/group/config/75	列表	R	菜单权限	groupDataLst
平台后台	分销 / 分销特权	分销特权	/group/config/75	添加	C	菜单权限	groupDataCreate
平台后台	分销 / 分销特权	分销特权	/group/config/75	编辑	U	菜单权限	groupDataUpdate
平台后台	分销 / 分销特权	分销特权	/group/config/75	删除	D	菜单权限	groupDataDelete
平台后台	分销 / 分销特权	分销特权	/group/config/75	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	分销 / 分销特权	分销特权	/group/config/75	上传图片	C	菜单权限	uploadImage
平台后台	分销 / 分销特权	分销特权	/group/config/75	图片列表	R	菜单权限	systemAttachmentLst
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	统计	R	菜单权限	systemStoreBagLstFilter
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	列表	R	菜单权限	systemStoreBagLst
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	详情	R	菜单权限	systemStoreBagDetail
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	编辑	U	菜单权限	systemStoreBagUpdate
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	修改状态	U	菜单权限	systemStoreBagSwitchStatus
平台后台	分销 / 分销礼包	分销礼包	/promoter/gift	显示/隐藏	U	菜单权限	systemStoreBagChangeUsed
平台后台	分销 / 分销等级	分销等级	brokerage	(页面入口)	R	待补	
