portal	module_path	page	page_route	action	crud	source	identifier
商户后台	公告	公告	/station/notice	列表	R	菜单权限	systemNoticeLogList
商户后台	公告	公告	/station/notice	已读	R	菜单权限	systemNoticeLogRead
商户后台	公告	公告	/station/notice	删除	D	菜单权限	systemNoticeLogDel
商户后台	公告	公告	/station/notice	未读统计	R	菜单权限	systemNoticeLogUnreadCount
商户后台	公告	公告	/station/notice	详情	R	菜单权限	systemNoticeLogDetail
商户后台	员工	员工	/server	(页面入口)	R	待补	
商户后台	员工 / 店员管理	店员管理	/server_manage	(页面入口)	R	待补	
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	列表	R	菜单权限	merchantServiceLst
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	登录	O	菜单权限	merchantServiceLogin
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	添加	C	菜单权限	merchantServiceCreate
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	编辑	U	菜单权限	merchantServiceUpdate
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	修改状态	U	菜单权限	merchantServiceSwitchStatus
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	删除	D	菜单权限	merchantServiceDelete
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	客服的全部用户 	O	菜单权限	merchantServiceServiceUserList
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	用户与客服聊天记录	R	菜单权限	merchantServiceServiceUserLogLst
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	客服的聊天用户列表	R	菜单权限	merchantServiceServiceMerchantUserList
商户后台	员工 / 店员管理 / 店员列表	店员列表	/config/service	用户与商户聊天记录	R	菜单权限	merchantServiceMerchantUserLogLst
商户后台	员工 / 店员管理 / 店员配置	店员配置	/systemForm/Basics/mer_service_switch	(页面入口)	R	待补	
商户后台	员工 / 店员管理 / 自动回复	自动回复	/systemForm/customer_keyword	列表	R	菜单权限	merchantServiceReplyLst
商户后台	员工 / 店员管理 / 自动回复	自动回复	/systemForm/customer_keyword	添加	C	菜单权限	merchantServiceReplyCreate
商户后台	员工 / 店员管理 / 自动回复	自动回复	/systemForm/customer_keyword	编辑	U	菜单权限	merchantServiceReplyUpdate
商户后台	员工 / 店员管理 / 自动回复	自动回复	/systemForm/customer_keyword	切换状态	U	菜单权限	merchantServiceReplyStatus
商户后台	员工 / 店员管理 / 自动回复	自动回复	/systemForm/customer_keyword	删除	D	菜单权限	merchantServiceReplyDelete
商户后台	员工 / 服务人员	服务人员	/config/service_staff	列表	R	菜单权限	merchantStaffsLst
商户后台	员工 / 服务人员	服务人员	/config/service_staff	添加	C	菜单权限	merchantStaffsCreate
商户后台	员工 / 服务人员	服务人员	/config/service_staff	编辑	U	菜单权限	merchantStaffsUpdate
商户后台	员工 / 服务人员	服务人员	/config/service_staff	修改状态	U	菜单权限	merchantStaffsSwitchStatus
商户后台	员工 / 服务人员	服务人员	/config/service_staff	删除	D	菜单权限	merchantStaffsDelete
商户后台	员工 / 服务人员	服务人员	/config/service_staff	列表	R	菜单权限	merchantStaffsStatisticsList
商户后台	员工 / 服务人员	服务人员	/config/service_staff	详情	R	菜单权限	merchantStaffsStatisticsDetail
商户后台	员工 / 服务人员 / 服务人员	服务人员	/config/service_staff	列表	R	路由	merchantStaffsStatisticsList
商户后台	员工 / 服务人员 / 服务人员	服务人员	/config/service_staff	详情	R	路由	merchantStaffsStatisticsDetail
商户后台	员工 / 服务人员 / 服务统计	服务统计	/config/service_statistic	客服的聊天用户列表	R	路由	merchantServiceServiceMerchantUserList
商户后台	员工 / 服务人员 / 服务统计	服务统计	/config/service_statistic	用户与商户聊天记录	R	路由	merchantServiceMerchantUserLogLst
商户后台	员工 / 服务人员 / 服务统计	服务统计	/config/service_statistic	列表	R	路由	merchantServiceReplyLst
商户后台	员工 / 服务人员 / 服务统计	服务统计	/config/service_statistic	添加	C	路由	merchantServiceReplyCreate
商户后台	员工 / 服务人员 / 服务统计	服务统计	/config/service_statistic	编辑	U	路由	merchantServiceReplyUpdate
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	列表	R	菜单权限	merchantDeliveryServiceLst
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	修改状态	U	菜单权限	merchantDeliveryServiceStatus
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	添加	C	菜单权限	merchantDeliveryServiceCreate
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	编辑	U	菜单权限	merchantDeliveryServiceUpdate
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	删除	D	菜单权限	merchantDeliveryServiceDelete
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	统计列表	R	菜单权限	merchantDeliveryServiceStatisticsList
商户后台	员工 / 配送人员	配送人员	/delivery/personnel_manage/index	统计详情	R	菜单权限	merchantDeliveryServiceStatisticsDetail
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	列表	R	菜单权限	merchantDeliveryServiceLst
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	修改状态	U	菜单权限	merchantDeliveryServiceStatus
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	添加	C	菜单权限	merchantDeliveryServiceCreate
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	编辑	U	菜单权限	merchantDeliveryServiceUpdate
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	删除	D	菜单权限	merchantDeliveryServiceDelete
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	统计列表	R	菜单权限	merchantDeliveryServiceStatisticsList
商户后台	员工 / 配送人员 / 配送员管理	配送员管理	/delivery/personnel_manage	统计详情	R	菜单权限	merchantDeliveryServiceStatisticsDetail
商户后台	员工 / 配送人员 / 配送统计	配送统计	/delivery/delivice_statistic	(页面入口)	R	待补	
商户后台	商品	商品	/product	列表	R	路由	merchantStoreAttrTemplateLst
商户后台	商品	商品	/product	添加 	C	路由	merchantStoreAttrTemplateCreate
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	列表	R	菜单权限	merchantStoreProductCdkeyLibraryLst
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	列表	R	菜单权限	merchantStoreProductCdkeyLibraryDetail
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	添加	C	菜单权限	merchantStoreProductCdkeyLibraryCreate
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	编辑表单	U	菜单权限	merchantStoreProductCdkeyLibraryUpdateForm
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	编辑	U	菜单权限	merchantStoreProductCdkeyLibraryUpdate
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	删除	D	菜单权限	merchantStoreProductCdkeyLibraryDelete
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	导出	R	菜单权限	merchantStoreProductCdkeyLibraryExcel
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	批量导入	C	菜单权限	merchantStoreProductCdkeyLibraryImport
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	卡密列表	R	菜单权限	merchantStoreProductCdkeyLst
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	添加卡密	C	菜单权限	merchantStoreProductCdkeyCreate
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	编辑卡密	U	菜单权限	merchantStoreProductCdkeyUpdate
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	删除卡密	D	菜单权限	merchantStoreProductCdkeyDelete
商户后台	商品 / 卡密列表	卡密列表	/product/cdkey	批量删除	D	菜单权限	merchantStoreProductCdkeyLibraryBatchDelete
商户后台	商品 / 商品分类	商品分类	/product/classify	编辑	U	菜单权限	merchantStoreCategoryUpdate
商户后台	商品 / 商品分类	商品分类	/product/classify	列表	R	菜单权限	merchantStoreCategoryLst
商户后台	商品 / 商品分类	商品分类	/product/classify	详情	R	菜单权限	merchantStoreCategoryDtailt
商户后台	商品 / 商品分类	商品分类	/product/classify	添加	C	菜单权限	merchantStoreCategoryCreate
商户后台	商品 / 商品分类	商品分类	/product/classify	删除	D	菜单权限	merchantStoreCategoryDelete
商户后台	商品 / 商品分类	商品分类	/product/classify	修改状态	U	菜单权限	merchantStoreCategorySwitchStatus
商户后台	商品 / 商品分类	商品分类	/product/classify	上传图片	C	菜单权限	merchantUploadImage
商户后台	商品 / 商品分类	商品分类	/product/classify	图片列表	R	菜单权限	merchantAttachmentLst
商户后台	商品 / 商品列表	商品列表	/product/list	头部统计	R	菜单权限	merchantStoreProductLstFilter
商户后台	商品 / 商品列表	商品列表	/product/list	列表	R	菜单权限	merchantStoreProductLst
商户后台	商品 / 商品列表	商品列表	/product/list	添加	C	菜单权限	merchantStoreProductCreate
商户后台	商品 / 商品列表	商品列表	/product/list	详情	R	菜单权限	merchantStoreProductDetail
商户后台	商品 / 商品列表	商品列表	/product/list	上传视频配置	CU	菜单权限	merchantStoreProductTempKey
商户后台	商品 / 商品列表	商品列表	/product/list	编辑	U	菜单权限	merchantStoreProductUpdate
商户后台	商品 / 商品列表	商品列表	/product/list	删除	D	菜单权限	merchantStoreProductDelete
商户后台	商品 / 商品列表	商品列表	/product/list	加入回收站	O	菜单权限	merchantStoreProductDestory
商户后台	商品 / 商品列表	商品列表	/product/list	恢复	O	菜单权限	merchantStoreProductRestore
商户后台	商品 / 商品列表	商品列表	/product/list	上下架	U	菜单权限	merchantStoreProductSwitchStatus
商户后台	商品 / 商品列表	商品列表	/product/list	排序	U	菜单权限	merchantStoreProductUpdateSort
商户后台	商品 / 商品列表	商品列表	/product/list	预览	R	菜单权限	merchantStoreProductPreview
商户后台	商品 / 商品列表	商品列表	/product/list	标签	O	菜单权限	merchantStoreProductLabels
商户后台	商品 / 商品列表	商品列表	/product/list	获取规格	R	菜单权限	merchantStoreProductAttrValue
