portal	group	module	action	crud	method	path	handler	name
用户端	未登录可访问	upload/video	upload Video (upload/video)	C	POST	upload/video	admin.system.attachment.Attachment/uploadVideo	
用户端	未登录可访问	excel/download	download (excel/download/:id)	R	GET	excel/download/:id	merchant.store.order.Order/download	
用户端	未登录可访问	notice	微信支付回调:微信 服务商 收付通	O	ANY	notice/:type	api.Common/notify	wechatNotify
用户端	未登录可访问	notice/mchNotify	企业付款到零钱回调	O	ANY	notice/mchNotify/:type	api.Common/mchNotify	mchNotify
用户端	未登录可访问	notice/pay	支付宝支付回调	C	ANY	notice/pay/alipay	api.Common/alipayNotify	alipayNotify
用户端	未登录可访问	notice/callback	delivery Notify (notice/callback)	O	ANY	notice/callback	api.Common/deliveryNotify	mchNotify
用户端	未登录可访问	order_call_back	call Back Notify (order_call_back)	O	ANY	order_call_back	api.Common/callBackNotify	mchNotify
用户端	未登录可访问	system/city	城市列表	R	GET	system/city/lst	merchant.store.shipping.City/getlist	
用户端	未登录可访问	v2/system	lst V2 (v2/system/city/lst/:pid)	R	GET	v2/system/city/lst/:pid	merchant.store.shipping.City/lstV2	
用户端	未登录可访问	v2/system	city List (v2/system/city)	R	GET	v2/system/city	merchant.store.shipping.City/cityList	
用户端	未登录可访问	common/hot_keyword	热门搜索	R	GET	common/hot_keyword	api.Common/hotKeyword	
用户端	未登录可访问	common/commuunity	社区热门搜索	R	GET	common/commuunity/hot_keyword	api.Common/hotKeyword	
用户端	未登录可访问	common/hot_banner	推荐页 banner	R	GET	common/hot_banner/:type	api.Common/hotBanner	
用户端	未登录可访问	common/refund_message	退款原因	R	GET	common/refund_message	api.Common/refundMessage	
用户端	未登录可访问	common/recharge_quota	充值赠送	R	GET	common/recharge_quota	api.Common/userRechargeQuota	
用户端	未登录可访问	common/express	快递公司	R	GET	common/express	api.Common/express	
用户端	未登录可访问	common/base64	图片转 base64	R	POST	common/base64	api.Common/get_image_base64	
用户端	未登录可访问	common/menus	个人中心菜单	R	GET	common/menus	api.Common/menus	
用户端	未登录可访问	common/home	首页数据	R	GET	common/home	api.Common/home	
用户端	未登录可访问	lbs/geocoder	经纬度转位置信息	R	GET	lbs/geocoder	api.Common/lbs_geocoder	
用户端	未登录可访问	lbs/address	位置信息转经纬度	CR	GET	lbs/address	api.Common/lbs_address	
用户端	未登录可访问	common/pay_key	获取支付宝支付链接	CR	GET	common/pay_key/:key	api.Common/pay_key	
用户端	未登录可访问	common/feedback_type	用户反馈类型	R	GET	common/feedback_type	api.user.FeedBackCategory/lst	
用户端	未登录可访问	auth/login	登录	C	POST	auth/login	api.Auth/login	
用户端	未登录可访问	auth/mp_login_type	获取小程序登录是否需绑定手机号处理	C	POST	auth/mp_login_type	api.Auth/mpLoginType	
用户端	未登录可访问	auth	登录	C	POST	auth	api.Auth/authLogin	
用户端	未登录可访问	auth/smslogin	短信登录	C	POST	auth/smslogin	api.Auth/smsLogin	
用户端	未登录可访问	auth/register	注册	C	POST	auth/register	api.Auth/register	
用户端	未登录可访问	auth/mp_phone	小程序手机号注册	C	POST	auth/mp_phone	api.Auth/mpPhone	
用户端	未登录可访问	auth/wechat	微信授权	R	GET	auth/wechat	api.Auth/auth	
用户端	未登录可访问	auth/mp	小程序授权	C	POST	auth/mp	api.Auth/mpAuth	
用户端	未登录可访问	auth/app	app授权	C	POST	auth/app	api.Auth/appAuth	
用户端	未登录可访问	auth/apple	apple授权	C	POST	auth/apple	api.Auth/appleAuth	
用户端	未登录可访问	user/change_pwd	修改密码	U	POST	user/change_pwd	api.Auth/changePassword	
用户端	未登录可访问	auth/verify	验证码	U	POST	auth/verify	api.Auth/verify	
用户端	未登录可访问	wechat/config	微信配置	R	GET	wechat/config	api.Wechat/jsConfig	
用户端	未登录可访问	captcha	图片验证码	R	GET	captcha	api.Auth/getCaptcha	
用户端	未登录可访问	agreement_lst	获取协议列表	R	GET	agreement_lst	admin.system.Cache/getKeyLst	
用户端	未登录可访问	agreement	获取协议内容	R	GET	agreement/:key	admin.system.Cache/getAgree	
用户端	未登录可访问	copyright	copyright (copyright)	R	GET	copyright	api.Common/copyright	
用户端	未登录可访问	script	script (script)	R	GET	script	api.Common/script	
用户端	未登录可访问	appVersion	app Version (appVersion)	R	GET	appVersion	api.Common/appVersion	
用户端	未登录可访问	micro	micro (micro)	R	GET	micro	api.Common/micro	getVersion
用户端	未登录可访问	version	version (version)	R	GET	version	admin.Common/version	getVersion
用户端	未登录可访问	getVersion	get Version (getVersion)	O	ANY	getVersion	api.Common/getVersion	getVersion
用户端	未登录可访问	diy	diy (diy)	R	GET	diy	api.Common/diy	
用户端	未登录可访问	ajcaptcha	滑块验证码	R	GET	ajcaptcha	api.Auth/ajcaptcha	
用户端	未登录可访问	ajcheck	ajcheck (ajcheck)	U	POST	ajcheck	api.Auth/ajcheck	
