portal	group	module	action	crud	method	path	handler	name
商户手机端/店员	manager	history	chat History (history/:id)	R	GET	history/:id	api.store.service.Service/chatHistory	
商户手机端/店员	manager	list	get List (list)	R	GET	list	api.store.service.Service/getList	
商户手机端/店员	manager	mer_history	service History (mer_history/:merId/:id)	R	GET	mer_history/:merId/:id	api.store.service.Service/serviceHistory	
商户手机端/店员	manager	user_list	service User List (user_list/:merId)	R	GET	user_list/:merId	api.store.service.Service/serviceUserList	
商户手机端/店员	manager	scan_login	客服扫码登录	C	POST	scan_login/:key	api.store.service.Service/scanLogin	
商户手机端/店员	manager	user	user (user/:merId/:uid)	R	GET	user/:merId/:uid	api.store.service.Service/user	
商户手机端/店员	manager	mark	mark (mark/:merId/:uid)	U	POST	mark/:merId/:uid	api.store.service.Service/mark	
商户手机端/店员	manager	product/create	添加	C	POST	:merId/product/create	StoreProduct/create	
商户手机端/店员	manager	product/update	编辑	U	POST	:merId/product/update/:id	StoreProduct/update	
商户手机端/店员	manager	product/detail	detail (:merId/product/detail/:id)	R	GET	:merId/product/detail/:id	StoreProduct/detail	
商户手机端/店员	manager	product/delete	delete (:merId/product/delete/:id)	D	POST	:merId/product/delete/:id	StoreProduct/delete	
商户手机端/店员	manager	product/status	switch Status (:merId/product/status/:id)	U	POST	:merId/product/status/:id	StoreProduct/switchStatus	
商户手机端/店员	manager	product/lst	lst (:merId/product/lst)	R	GET	:merId/product/lst	StoreProduct/lst	
商户手机端/店员	manager	product/title	title (:merId/product/title)	R	GET	:merId/product/title	StoreProduct/title	
商户手机端/店员	manager	product/restore	restore (:merId/product/restore/:id)	C	POST	:merId/product/restore/:id	StoreProduct/restore	
商户手机端/店员	manager	product/destory	destory (:merId/product/destory/:id)	C	POST	:merId/product/destory/:id	StoreProduct/destory	
商户手机端/店员	manager	product/good	update Good (:merId/product/good/:id)	U	POST	:merId/product/good/:id	StoreProduct/updateGood	
商户手机端/店员	manager	product/config	config (:merId/product/config)	R	GET	:merId/product/config	StoreProduct/config	
商户手机端/店员	manager	product/edit_cate	修改分类	U	POST	:merId/product/edit_cate/:id	StoreProduct/editCate	
商户手机端/店员	manager	product/edit_mer_cate	edit Mer Cate (:merId/product/edit_mer_cate/:id)	U	POST	:merId/product/edit_mer_cate/:id	StoreProduct/editMerCate	
商户手机端/店员	manager	product/value	get Value (:merId/product/value/:id)	R	GET	:merId/product/value/:id	StoreProduct/getValue	
商户手机端/店员	manager	product/value	set Value (:merId/product/value/:id)	U	POST	:merId/product/value/:id	StoreProduct/setValue	
商户手机端/店员	manager	category/lst	商品分类	R	GET	:merId/category/lst	StoreCategory/lst	
商户手机端/店员	manager	category/create	create (:merId/category/create)	C	POST	:merId/category/create	StoreCategory/create	
商户手机端/店员	manager	category/update	update (:merId/category/update/:id)	U	POST	:merId/category/update/:id	StoreCategory/update	
商户手机端/店员	manager	category/detail	detail (:merId/category/detail/:id)	R	GET	:merId/category/detail/:id	StoreCategory/detail	
商户手机端/店员	manager	category/status	switch Status (:merId/category/status/:id)	U	POST	:merId/category/status/:id	StoreCategory/switchStatus	
商户手机端/店员	manager	category/delete	delete (:merId/category/delete/:id)	D	POST	:merId/category/delete/:id	StoreCategory/delete	
商户手机端/店员	manager	category/list	get List (:merId/category/list)	R	GET	:merId/category/list	StoreCategory/getList	
商户手机端/店员	manager	category/select	get Tree List (:merId/category/select)	R	GET	:merId/category/select	StoreCategory/getTreeList	
商户手机端/店员	manager	category/brandlist	Brand List (:merId/category/brandlist)	R	GET	:merId/category/brandlist	StoreCategory/BrandList	
