portal	group	module	action	crud	method	path	handler	name
客服端	service	captcha	验证码	R	GET	captcha	service.Login/getCaptcha	
客服端	service	config	config (config)	R	GET	config	service.Common/config	
客服端	service	login	登录	C	POST	login	service.Login/login	
客服端	service	login/scan	扫码登录	C	POST	login/scan	service.Login/scanLogin	
客服端	service	login/scan	登录	U	POST	login/scan/check	service.Login/checkScanLogin	
客服端	service	logout	退出登录	C	POST	logout	service.Login/logout	
客服端	service	info	商户信息	R	GET	info	service.Common/info	
客服端	service	user/lst	用户聊天列表	R	GET	user/lst	service.Service/serviceUserList	
客服端	service	user/mark	用户备注	U	POST	user/mark/:uid	service.Service/mark	
客服端	service	history	聊天记录	R	GET	history/:uid	service.Service/history	
客服端	service	user	用户信息	R	GET	user	service.Common/user	
客服端	service	upload	图片上传	C	POST	upload/:field	service.Service/upload	
客服端	service	order	订单信息	R	GET	order/:id	service.Service/getOrderInfo	
客服端	service	order_status	order Status (order_status/:id)	RU	GET	order_status/:id	service.Service/orderStatus	
客服端	service	refund	退款单信息	R	GET	refund/:id	service.Service/getRefundOder	
客服端	service	order_express	快递	R	GET	order_express/:id	service.Service/orderExpress	
客服端	service	refund_express	快递	R	GET	refund_express/:id	service.Service/refundOrderExpress	
客服端	service	product	商品	R	GET	product/:id	service.Service/product	
