portal	method	path	name	alias	crud	menu_path	file	handler
商户后台	POST	cartBatchUpdatePrice	behalfCartBatchUpdatePrice	批量修改价格	U		merchant/behalfcustomerorder.php	Cart/batchUpdatePrice
商户后台	POST	cartChange/:id	behalfCartChange	修改购物车数据	U		merchant/behalfcustomerorder.php	Cart/change
商户后台	POST	cartClear	behalfCartClear	清空购物车	D		merchant/behalfcustomerorder.php	Cart/clear
商户后台	GET	cartCount	behalfCartCount	购物车总数量	O		merchant/behalfcustomerorder.php	Cart/count
商户后台	POST	cartCreate	behalfCartCreate	添加购物车	C		merchant/behalfcustomerorder.php	Cart/create
商户后台	DELETE	cartDelete/:id	behalfCartDelete	删除购物数据	D		merchant/behalfcustomerorder.php	Cart/delete
商户后台	GET	cartList	behalfCartList	购物车列表	R		merchant/behalfcustomerorder.php	Cart/list
商户后台	POST	cartUpdatePrice/:id	behalfCartUpdatePrice	修改价格	U		merchant/behalfcustomerorder.php	Cart/updatePrice
商户后台	POST	orderCheck	behalfCheck	校验订单	O		merchant/behalfcustomerorder.php	Order/check
商户后台	POST	orderCreate	behalfCreate	创建订单	C		merchant/behalfcustomerorder.php	Order/create
商户后台	POST	orderPay/:id	behalfPay	支付	C		merchant/behalfcustomerorder.php	Order/pay
商户后台	POST	payConfig	behalfPayConfig	支付配置	CU		merchant/behalfcustomerorder.php	Order/payConfig
商户后台	POST	payStatus/:id	behalfPayStatus	获取结果	CR		merchant/behalfcustomerorder.php	Order/payStatus
商户后台	GET	productCategory	behalfProductCategory	商品分类	O		merchant/behalfcustomerorder.php	Product/category
商户后台	GET	productDetail/:id	behalfProductDetail	商品规格详情	R		merchant/behalfcustomerorder.php	Product/detail
商户后台	GET	productList	behalfProductList	商品列表	R		merchant/behalfcustomerorder.php	Product/list
商户后台	POST	userAddressCreate	behalfUserAddressCreate	地址添加	C		merchant/behalfcustomerorder.php	User/addressCreate
商户后台	GET	userAddressList	behalfUserAddressList	地址列表	CR		merchant/behalfcustomerorder.php	User/addressList
商户后台	POST	userCreate	behalfUserCreate	会员添加	C		merchant/behalfcustomerorder.php	User/create
商户后台	GET	userInfo	behalfUserInfo	会员详情	R		merchant/behalfcustomerorder.php	User/info
商户后台	GET	userQuery	behalfUserQuery	会员查询	R		merchant/behalfcustomerorder.php	User/query
商户后台	POST	orderVerify	behalfVerify	余额支付获取验证码	CR		merchant/behalfcustomerorder.php	Order/verify
商户后台	POST	create	merFormCreate	添加	C		merchant/form.php	/create
商户后台	DELETE	delete/:id	merFormDelete	删除	D		merchant/form.php	/delete
商户后台	GET	detail/:id	merFormDetail	详情	R		merchant/form.php	/detail
商户后台	GET	lst	merFormLst	列表	R		merchant/form.php	/lst
商户后台	POST	update/:id	merFormUpdate	编辑	U		merchant/form.php	/update
商户后台	POST	create	merchantAdminCreate	添加	C		merchant/role.php	/create
商户后台	GET	create/form	merchantAdminCreateForm	添加表单	C		merchant/role.php	/createForm
商户后台	DELETE	delete/:id	merchantAdminDelete	删除	D		merchant/role.php	/delete
商户后台	POST	edit	merchantAdminEdit	修改信息	U		merchant/role.php	/edit
商户后台	GET	edit/form	merchantAdminEditForm	修改信息表单	U		merchant/role.php	/editForm
商户后台	POST	edit/password	merchantAdminEditPassword	修改密码	U		merchant/role.php	/editPassword
商户后台	GET	edit/password/form	merchantAdminEditPasswordForm	修改密码表单	U		merchant/role.php	/editPasswordForm
商户后台	GET	lst	merchantAdminLst	列表	R		merchant/role.php	/getList
商户后台	POST	password/:id	merchantAdminPassword	修改密码	U		merchant/role.php	/password
商户后台	GET	password/form/:id	merchantAdminPasswordForm	修改密码表单	U		merchant/role.php	/passwordForm
商户后台	POST	status/:id	merchantAdminStatus	修改状态	U		merchant/role.php	/switchStatus
商户后台	POST	update/:id	merchantAdminUpdate	编辑	U		merchant/role.php	/update
商户后台	GET	update/form/:id	merchantAdminUpdateForm	编辑表单	U		merchant/role.php	/updateForm
商户后台	GET	line_chart	merchantAnalyticsOrderLineChart	折线图统计	R		merchant/analytics.php	/lineChart
商户后台	GET	top	merchantAnalyticsOrderTop	顶部统计	R		merchant/analytics.php	/top
商户后台	GET	pie_chart/:type	merchantAnalyticsOrderTypePieChart	折线图统计	R		merchant/analytics.php	/typePieCahrt
商户后台	GET	line_chart	merchantAnalyticsProductLineChart	折线图统计	R		merchant/analytics.php	/lineChart
商户后台	GET	top	merchantAnalyticsProductTop	顶部统计	R		merchant/analytics.php	/top
商户后台	GET	pie_chart/:type	merchantAnalyticsProductTypePieChart	折线图统计	R		merchant/analytics.php	/typePieCahrt
商户后台	GET	check	merchantApplymentsCheck	查询审核结果	RU		merchant/accounts.php	/check
商户后台	POST	create	merchantApplymentsCreate	申请	C		merchant/accounts.php	/create
商户后台	GET	detail	merchantApplymentsDetail	详情	R		merchant/accounts.php	/detail
商户后台	POST	update/:id	merchantApplymentsUpdate	编辑	U		merchant/accounts.php	/update
商户后台	POST	upload/:field	merchantApplymentsUpload	上传图片	C		merchant/accounts.php	/uploadImage
商户后台	POST	upload/video/:field	merchantApplymentsUploadVideo	上传视频	C		merchant/accounts.php	/uploadVideo
商户后台	POST	category	merchantAttachmentBatchChangeCategory	批量修改	U		merchant/attachment.php	/batchChangeCategory
商户后台	POST	create	merchantAttachmentCategoryCreate	添加	C		merchant/attachment.php	/create
商户后台	GET	create/form	merchantAttachmentCategoryCreateForm	添加表单	C		merchant/attachment.php	/createForm
商户后台	DELETE	delete/:id	merchantAttachmentCategoryDelete	删除	D		merchant/attachment.php	/delete
商户后台	GET	formatLst	merchantAttachmentCategoryGetFormatList	列表	R		merchant/attachment.php	/getFormatList
商户后台	POST	update/:id	merchantAttachmentCategoryUpdate	编辑	U		merchant/attachment.php	/update
商户后台	GET	update/form/:id	merchantAttachmentCategoryUpdateForm	编辑表单	U		merchant/attachment.php	/updateForm
商户后台	DELETE	delete	merchantAttachmentDelete	删除	D		merchant/attachment.php	/delete
商户后台	GET	lst	merchantAttachmentLst	列表	R		merchant/attachment.php	/getList
商户后台	POST	online_upload	merchantAttachmentOnline	在线图片	O		merchant/attachment.php	/onlineUpload
商户后台	GET	scan_upload/image/:token	merchantAttachmentScanImage	扫码上传图片	C		merchant/attachment.php	/scanUploadImage
商户后台	POST	scan_upload/image/:token	merchantAttachmentScanImageSave	扫码上传保存	C		merchant/attachment.php	/scanUploadSave
商户后台	GET	scan_upload/qrcode/:pid	merchantAttachmentScanQrcode	上传二维码	C		merchant/attachment.php	/scanUploadQrcode
商户后台	POST	update/:id	merchantAttachmentUpdate	编辑	U		merchant/attachment.php	/update
商户后台	GET	update/:id/form	merchantAttachmentUpdateForm	编辑表单的	U		merchant/attachment.php	/updateForm
商户后台	POST	addassistant/:id	merchantBroadcastAddAssistant	添加 客服	C		merchant/marketing.php	/addAssistant
商户后台	GET	addassistant/form/:id	merchantBroadcastAddAssistantForm	添加客服表单	C		merchant/marketing.php	/addAssistantForm
商户后台	POST	create	merchantBroadcastAssistantCreate	添加	C		merchant/marketing.php	/create
商户后台	GET	create/form	merchantBroadcastAssistantCreateForm	添加表单	C		merchant/marketing.php	/createForm
商户后台	DELETE	delete/:id	merchantBroadcastAssistantDelete	删除	D		merchant/marketing.php	/delete
商户后台	GET	lst	merchantBroadcastAssistantLst	列表	R		merchant/marketing.php	/lst
商户后台	POST	mark/:id	merchantBroadcastAssistantMark	备注	U		merchant/marketing.php	/mark
商户后台	POST	update/:id	merchantBroadcastAssistantUpdate	编辑	U		merchant/marketing.php	/update
商户后台	GET	update/:id/form	merchantBroadcastAssistantUpdateForm	编辑表单	U		merchant/marketing.php	/updateForm
商户后台	POST	status/:id	merchantBroadcastGoodsChangeStatus	修改状态	U		merchant/marketing.php	/changeStatus
商户后台	POST	create	merchantBroadcastGoodsCreate	添加	C		merchant/marketing.php	/create
商户后台	GET	create/form	merchantBroadcastGoodsCreateForm	添加表单	C		merchant/marketing.php	/createForm
