portal	method	path	name	alias	crud	menu_path	file	handler
平台后台	POST	create	adminServiceCreate	添加	C		admin/service.php	StoreService/create
平台后台	GET	create/form	adminServiceCreateForm	添加表单	C		admin/service.php	StoreService/createForm
平台后台	DELETE	delete/:id	adminServiceDelete	删除	D		admin/service.php	StoreService/delete
平台后台	POST	login/:id	adminServiceLogin	登录	O		admin/service.php	StoreService/login
平台后台	GET	list	adminServiceLst	列表	R		admin/service.php	StoreService/lst
平台后台	GET	/:id/lst	adminServiceMerchantUserLogLst	用户与商户聊天记录	R		admin/service.php	StoreService/getUserMsnByMerchant
平台后台	POST	create	adminServiceReplyCreate	添加	C		admin/service.php	StoreServiceReply/create
平台后台	DELETE	delete/:id	adminServiceReplyDelete	删除	D		admin/service.php	StoreServiceReply/delete
平台后台	GET	list	adminServiceReplyLst	列表	R		admin/service.php	StoreServiceReply/lst
平台后台	POST	status/:id	adminServiceReplyStatus	切换状态	U		admin/service.php	StoreServiceReply/changeStatus
平台后台	POST	update/:id	adminServiceReplyUpdate	编辑	U		admin/service.php	StoreServiceReply/update
平台后台	GET	mer/:id/user	adminServiceServiceMerchantUserList	客服的聊天用户列表	R		admin/service.php	StoreService/merchantUserList
平台后台	GET	/:id/user	adminServiceServiceUserList	客服的全部用户 	O		admin/service.php	StoreService/serviceUserList
平台后台	GET	/:id/:uid/lst	adminServiceServiceUserLogLst	用户与客服聊天记录	R		admin/service.php	StoreService/getUserMsnByService
平台后台	POST	status/:id	adminServiceSwitchStatus	修改状态	U		admin/service.php	StoreService/changeStatus
平台后台	POST	update/:id	adminServiceUpdate	编辑	U		admin/service.php	StoreService/update
平台后台	GET	update/form/:id	adminServiceUpdateForm	编辑表单	U		admin/service.php	StoreService/updateForm
平台后台	POST	create	configClassifyCreate	配置分类添加	CRU		admin/config.php	/create
平台后台	GET	create/table	configClassifyCreateForm	配置分类添加表单	CRU		admin/config.php	/createTable
平台后台	DELETE	delete/:id	configClassifyDelete	配置分类删除	RUD		admin/config.php	/delete
平台后台	GET	lst	configClassifyLst	配置分类列表	RU		admin/config.php	/lst
平台后台	POST	status/:id	configClassifySwitchStatus	配置分类修改状态	RU		admin/config.php	/switchStatus
平台后台	POST	update/:id	configClassifyUpdate	配置分类编辑	RU		admin/config.php	/update
平台后台	GET	update/table/:id	configClassifyUpdateForm	配置分类编辑表单	RU		admin/config.php	/updateTable
平台后台	GET	config/:key	configForm	获取配置信息	RU		admin/config.php	Config/form
平台后台	GET	config_classify/:key	configForm	获取配置	RU		admin/config.php	Config/getConfig
平台后台	GET	group_buying	configOthersGroupBuyingDetail	配置信息	RU		admin/marketing.php	/getGroupBuying
平台后台	POST	group_buying	configOthersGroupBuyingUpdate	配置保存	CRU		admin/marketing.php	/setGroupBuying
平台后台	POST	update	configOthersSettingUpdate	配置保存	CRU		admin/spread.php	ConfigOthers/update
平台后台	GET	routine/config	configRoutineConfig	小程序配置	RU		admin/wechat.php	/getRoutineConfig
平台后台	POST	config/save/:key	configSave	编辑配置信息	CRU		admin/config.php	ConfigValue/save
平台后台	POST	create	configSettingCreate	配置添加	CRU		admin/config.php	/create
平台后台	GET	create/table	configSettingCreateForm	配置添加表单	CRU		admin/config.php	/createTable
平台后台	DELETE	delete/:id	configSettingDelete	配置删除	RUD		admin/config.php	/delete
平台后台	GET	lst	configSettingLst	配置列表	RU		admin/config.php	/lst
平台后台	POST	status/:id	configSettingSwitchStatus	配置修改状态	RU		admin/config.php	/switchStatus
平台后台	POST	update/:id	configSettingUpdate	配置编辑	RU		admin/config.php	/update
平台后台	GET	update/table/:id	configSettingUpdateForm	配置编辑表单	RU		admin/config.php	/updateTable
平台后台	POST	upload_file/:field	configUpload	上传文件	CR		admin/wechat.php	/upload
平台后台	POST	update_name/:field	configUploadName	上传原名文件	CR		admin/wechat.php	/uploadAsName
平台后台	GET	wechat/file/form	configWechatUploadForm	微信校验文件上传表单	CR		admin/wechat.php	/uploadWechatForm
平台后台	POST	wechat_set	configWechatUploadSet	微信校验文件上传	CR		admin/wechat.php	/uploadWechatSet
平台后台	POST	create	createWechatReply	添加	C		admin/wechat.php	/create
平台后台	GET	status/:id/form	downProductStatusForm	强制下架表单	U		admin/marketing.php	/down_product_status_form
平台后台	POST	batch_spread	getMemberLevelBatchSpread	批量设置分销员	RU		admin/user.php	/batchSpread
平台后台	GET	batch_spread_form	getMemberLevelBatchSpreadForm		R		admin/user.php	/batchSpreadForm
平台后台	GET	member_select_list	getMemberLevelSelectList	获取用户的等级下拉列表	R		admin/user.php	/getMemberLevelSelectList
平台后台	POST	create	groupCreate	组合数据配置添加	CU		admin/group.php	/create
平台后台	GET	create/table	groupCreateForm	组合数据配置添加表单	CU		admin/group.php	/createTable
平台后台	POST	data/status/:id	groupDataChangeStatus	修改状态	U		admin/group.php	Data/changeStatus
平台后台	POST	data/create/:groupId	groupDataCreate	添加	C		admin/group.php	Data/create
平台后台	GET	data/create/table/:groupId	groupDataCreateForm	添加表单	C		admin/group.php	Data/createTable
平台后台	DELETE	data/delete/:id	groupDataDelete	删除	D		admin/group.php	Data/delete
平台后台	GET	data/lst/:groupId	groupDataLst	列表	R		admin/group.php	Data/lst
平台后台	POST	data/update/:groupId/:id	groupDataUpdate	编辑	U		admin/group.php	Data/update
平台后台	GET	data/update/table/:groupId/:id	groupDataUpdateForm	编辑表单	U		admin/group.php	Data/updateTable
平台后台	GET	detail/:id	groupDetail	详情	R		admin/group.php	/get
平台后台	GET	lst	groupLst	组合数据配置列表	RU		admin/group.php	/lst
平台后台	POST	update/:id	groupUpdate	组合数据配置编辑	U		admin/group.php	/update
平台后台	GET	update/table/:id	groupUpdateForm	组合数据配置编辑表单	U		admin/group.php	/updateTable
平台后台	POST	create	pointsCateCreate	添加	C		admin/points.php	/create
平台后台	GET	create/form	pointsCateCreateForm	添加表单	C		admin/points.php	/createForm
平台后台	GET	detail/:id	pointsCateDetail	详情	R		admin/points.php	/detail
平台后台	POST	get_attr_value/:id	pointsCateFormatAttr	获取规格	R		admin/points.php	/isFormatAttr
平台后台	GET	lst	pointsCateLst	列表	R		admin/points.php	/lst
平台后台	POST	status/:id	pointsCateStatus	修改状态	U		admin/points.php	/switchStatus
平台后台	DELETE	delete/:id	pointsCateStatus	修改状态	U		admin/points.php	/delete
平台后台	POST	update/:id	pointsCateUpdate	编辑	U		admin/points.php	/update
平台后台	GET	update/form/:id	pointsCateUpdateForm	编辑表单	U		admin/points.php	/updateForm
平台后台	POST	delivery_batch	pointsOrderBatchDelivery	批量发货	U		admin/points.php	/batchDelivery
平台后台	DELETE	delete/:id	pointsOrderDelete	删除	D		admin/points.php	/delete
平台后台	POST	delivery/:id	pointsOrderDelivery	发货	U		admin/points.php	/delivery
平台后台	GET	detail/:id	pointsOrderDetail	编辑	RU		admin/points.php	/detail
平台后台	GET	excel	pointsOrderExcel	导出	R		admin/points.php	/Excel
平台后台	GET	express/:id	pointsOrderExpress	快递查询	R		admin/points.php	/express
平台后台	GET	lst	pointsOrderLst	列表	R		admin/points.php	/lst
平台后台	POST	mark/:id	pointsOrderMark	备注	U		admin/points.php	/remark
平台后台	GET	mark/:id/form	pointsOrderMarkForm	备注表单	U		admin/points.php	/remarkForm
平台后台	GET	status/:id	pointsOrderStatus	记录	R		admin/points.php	/getStatus
平台后台	POST	create	pointsProductCreate	添加	C		admin/points.php	/create
平台后台	GET	detail/:id	pointsProductDetail	编辑	RU		admin/points.php	/detail
平台后台	GET	lst	pointsProductLst	列表	R		admin/points.php	/lst
平台后台	POST	preview	pointsProductPreview	预览	R		admin/points.php	/preview
平台后台	POST	status/:id	pointsProductStatus	修改状态	U		admin/points.php	/switchStatus
平台后台	DELETE	delete/:id	pointsProductStatus	修改状态	U		admin/points.php	/delete
平台后台	POST	update/:id	pointsProductUpdate	编辑	U		admin/points.php	/update
平台后台	POST	menu	saveWechatMenu	保存微信菜单配置	CU		admin/wechat.php	/save
平台后台	POST	save/:key	saveWechatReply	编辑	CU		admin/wechat.php	/save
平台后台	GET	logout	smsLogout	退出登录	O		admin/yihaotong.php	.Sms/logout
平台后台	GET	record	smsRecord	短信发送记录	CR		admin/yihaotong.php	.Sms/record
平台后台	POST	create	systemActivityAtmosphereCreate	添加	C		admin/marketing.php	/create
平台后台	DELETE	delete/:id	systemActivityAtmosphereDelete	删除	D		admin/marketing.php	/delete
平台后台	GET	detail/:id	systemActivityAtmosphereDetail	详情	R		admin/marketing.php	/detail
