qixi_table	crmeb_table	column	type	nullable	default	comment
qixi_article	eb_article	article_id	int(10)	NO		文章管理ID
qixi_article	eb_article	cid	int(10)	YES	'0'	分类id
qixi_article	eb_article	title	varchar(64)	NO		文章标题
qixi_article	eb_article	author	varchar(32)	YES	NULL	文章作者
qixi_article	eb_article	image_input	varchar(128)	NO		文章图片
qixi_article	eb_article	synopsis	varchar(128)	YES	NULL	文章简介
qixi_article	eb_article	visit	varchar(255)	YES	NULL	浏览次数
qixi_article	eb_article	sort	int(10)	YES	'0'	排序
qixi_article	eb_article	url	varchar(128)	YES	NULL	原文链接
qixi_article	eb_article	admin_id	int(10)	NO	'0'	管理员id
qixi_article	eb_article	mer_id	int(10)	YES	'0'	商户id
qixi_article	eb_article	is_hot	tinyint(3)	YES	'0'	是否热门(小程序)
qixi_article	eb_article	is_banner	tinyint(3)	YES	'0'	是否轮播图(小程序)
qixi_article	eb_article	status	tinyint(3)	YES	NULL	状态
qixi_article	eb_article	create_time	datetime	NO	CURRENT_TIMESTAMP	添加时间
qixi_article	eb_article	wechat_news_id	int(11)	YES	'0'	微信图文id
qixi_article_category	eb_article_category	article_category_id	int(10)	NO		文章分类id
qixi_article_category	eb_article_category	pid	int(11)	NO	'0'	父级ID
qixi_article_category	eb_article_category	mer_id	int(10)	NO	'0'	商户 id
qixi_article_category	eb_article_category	title	varchar(32)	NO		文章分类标题
qixi_article_category	eb_article_category	info	varchar(255)	YES	NULL	文章分类简介
qixi_article_category	eb_article_category	image	varchar(128)	NO		文章分类图片
qixi_article_category	eb_article_category	status	tinyint(3)	NO		状态
qixi_article_category	eb_article_category	sort	int(10)	NO	'0'	排序
qixi_article_category	eb_article_category	create_time	timestamp	NO	CURRENT_TIMESTAMP	添加时间
qixi_article_content	eb_article_content	article_content_id	int(10)	NO		文章id
qixi_article_content	eb_article_content	content	text	NO		文章内容
qixi_broadcast_assistant	eb_broadcast_assistant	assistant_id	bigint(20)	NO		
qixi_broadcast_assistant	eb_broadcast_assistant	username	varchar(50)	YES	NULL	微信号
qixi_broadcast_assistant	eb_broadcast_assistant	nickname	varchar(100)	YES	NULL	微信昵称
qixi_broadcast_assistant	eb_broadcast_assistant	mer_id	int(11)	YES	NULL	商户ID
qixi_broadcast_assistant	eb_broadcast_assistant	mark	varchar(255)	YES	NULL	备注
qixi_broadcast_assistant	eb_broadcast_assistant	is_del	tinyint(1)	YES	'0'	
qixi_broadcast_goods	eb_broadcast_goods	broadcast_goods_id	int(10)	NO		
qixi_broadcast_goods	eb_broadcast_goods	mer_id	int(10)	NO		商户 id
qixi_broadcast_goods	eb_broadcast_goods	goods_id	int(10)	NO	'0'	微信商品ID
qixi_broadcast_goods	eb_broadcast_goods	audit_id	int(10)	NO	'0'	审核单 id
qixi_broadcast_goods	eb_broadcast_goods	cover_img	varchar(255)	NO		图片
qixi_broadcast_goods	eb_broadcast_goods	name	varchar(64)	NO		商品名称
qixi_broadcast_goods	eb_broadcast_goods	price	decimal(10,2)	NO	'0.00'	价格
qixi_broadcast_goods	eb_broadcast_goods	product_type	tinyint(3)	NO	'0'	商品类型
qixi_broadcast_goods	eb_broadcast_goods	product_id	int(10)	NO	'0'	商品 id
qixi_broadcast_goods	eb_broadcast_goods	error_msg	varchar(255)	YES	NULL	未通过原因
qixi_broadcast_goods	eb_broadcast_goods	audit_status	tinyint(3)	NO	'0'	0：未审核，1：审核中，2:审核通过，3审核失败
qixi_broadcast_goods	eb_broadcast_goods	status	tinyint(1)	NO	'0'	审核状态0=未审核1=微信审核2=审核通过-1=审核未通过
qixi_broadcast_goods	eb_broadcast_goods	is_show	tinyint(3)	NO	'0'	是否显示
qixi_broadcast_goods	eb_broadcast_goods	is_mer_show	tinyint(3)	NO	'0'	商户是否显示
qixi_broadcast_goods	eb_broadcast_goods	mark	varchar(512)	YES	NULL	备注
qixi_broadcast_goods	eb_broadcast_goods	create_time	timestamp	NO	CURRENT_TIMESTAMP	
qixi_broadcast_goods	eb_broadcast_goods	sort	smallint(5)	NO	'0'	排序
qixi_broadcast_goods	eb_broadcast_goods	is_del	tinyint(3)	NO	'0'	
qixi_broadcast_goods	eb_broadcast_goods	is_mer_del	tinyint(3)	NO	'0'	商户是否删除
qixi_broadcast_room	eb_broadcast_room	broadcast_room_id	int(10)	NO		
qixi_broadcast_room	eb_broadcast_room	mer_id	int(10)	NO		商户 id
qixi_broadcast_room	eb_broadcast_room	room_id	int(10)	NO	'0'	直播间 id
qixi_broadcast_room	eb_broadcast_room	name	varchar(32)	NO		直播间名字
qixi_broadcast_room	eb_broadcast_room	cover_img	varchar(255)	NO		背景图
qixi_broadcast_room	eb_broadcast_room	share_img	varchar(255)	NO		分享图
qixi_broadcast_room	eb_broadcast_room	start_time	timestamp	YES	NULL	直播计划开始时间
qixi_broadcast_room	eb_broadcast_room	end_time	timestamp	YES	NULL	直播计划结束时间
qixi_broadcast_room	eb_broadcast_room	anchor_name	varchar(32)	NO		主播昵称
qixi_broadcast_room	eb_broadcast_room	anchor_wechat	varchar(32)	NO		主播微信号
qixi_broadcast_room	eb_broadcast_room	phone	varchar(32)	NO		主播手机号
qixi_broadcast_room	eb_broadcast_room	type	tinyint(3)	NO	'0'	直播间类型 【1: 推流，0：手机直播】
qixi_broadcast_room	eb_broadcast_room	screen_type	tinyint(3)	NO	'1'	横屏、竖屏 【1：横屏，0：竖屏】
qixi_broadcast_room	eb_broadcast_room	close_like	tinyint(3)	NO	'0'	是否关闭点赞
qixi_broadcast_room	eb_broadcast_room	close_goods	tinyint(3)	NO	'0'	是否关闭货架
