crmeb_table	qixi_table	comment	columns
eb_article	qixi_article	文章管理表	16
eb_article_category	qixi_article_category	文章分类表	9
eb_article_content	qixi_article_content	文章内容表	2
eb_broadcast_assistant	qixi_broadcast_assistant	直播助手信息	6
eb_broadcast_goods	qixi_broadcast_goods	直播商品表	19
eb_broadcast_room	qixi_broadcast_room	直播间表	34
eb_broadcast_room_goods	qixi_broadcast_room_goods	直播间导入商品表	3
eb_cache	qixi_cache	微信缓存表	4
eb_cdkey_library	qixi_cdkey_library		10
eb_circle	qixi_circle		17
eb_circle_agent	qixi_circle_agent	商圈代理表	23
eb_circle_brokerage_checkout	qixi_circle_brokerage_checkout	商圈佣金结算表	21
eb_circle_financial_record	qixi_circle_financial_record	商圈提成流水	16
eb_city_area	qixi_city_area	省市区县数据	9
eb_community	qixi_community	社区图文表信息	24
eb_community_category	qixi_community_category	社区分类	7
eb_community_reply	qixi_community_reply	社区评论	12
eb_community_topic	qixi_community_topic	社区话题	11
eb_delivery_config	qixi_delivery_config	配送设置表	15
eb_delivery_order	qixi_delivery_order		28
eb_delivery_service	qixi_delivery_service		13
eb_delivery_station	qixi_delivery_station	同城配送门店列表	28
eb_diy	qixi_diy		23
eb_excel	qixi_excel	导出文件记录表	10
eb_express	qixi_express	快递公司表	13
eb_express_partner	qixi_express_partner		10
eb_extend	qixi_extend		7
eb_feedback	qixi_feedback	用户反馈表	13
eb_feedback_category	qixi_feedback_category	用户反馈分类表	10
eb_financial	qixi_financial	商户财务申请提现	20
eb_financial_record	qixi_financial_record	商户财务流水	13
eb_guarantee	qixi_guarantee	保障服务选项	11
eb_guarantee_template	qixi_guarantee_template	保障服务模板	7
eb_guarantee_value	qixi_guarantee_value	保障服务模板条款	5
eb_label_rule	qixi_label_rule	自定标签规则	9
eb_member_interests	qixi_member_interests		11
eb_merchant	qixi_merchant	商户表	55
eb_merchant_admin	qixi_merchant_admin	商户管理员表	14
eb_merchant_applyments	qixi_merchant_applyments	商户申请分账商户号表	13
eb_merchant_category	qixi_merchant_category	商户分类表	4
eb_merchant_intention	qixi_merchant_intention	商户申请表	16
eb_merchant_region	qixi_merchant_region		13
eb_merchant_type	qixi_merchant_type	商户类型表	9
eb_open_auth	qixi_open_auth		15
eb_operate_log	qixi_operate_log		15
eb_page_category	qixi_page_category	页面链接分类	9
eb_page_link	qixi_page_link	页面链接	11
eb_parameter	qixi_parameter		8
eb_parameter_product	qixi_parameter_product		3
eb_parameter_template	qixi_parameter_template		5
eb_parameter_value	qixi_parameter_value		8
eb_presell_order	qixi_presell_order		16
eb_price_rule	qixi_price_rule		8
eb_record	qixi_record		6
eb_relevance	qixi_relevance		4
eb_routine_qrcode	qixi_routine_qrcode	小程序二维码管理表	8
eb_serve_meal	qixi_serve_meal		9
eb_serve_order	qixi_serve_order		12
eb_shipping_template	qixi_shipping_template	运费表	10
eb_shipping_template_free	qixi_shipping_template_free	指定包邮信息表	5
eb_shipping_template_region	qixi_shipping_template_region	配送区域表	7
eb_shipping_template_undelivery	qixi_shipping_template_undelivery	指定不配送区域表	3
eb_sms_record	qixi_sms_record	短信发送记录表	9
eb_staffs	qixi_staffs		11
eb_store_activity	qixi_store_activity		21
eb_store_activity_cate	qixi_store_activity_cate	活动标签分类表	11
eb_store_activity_label	qixi_store_activity_label	活动标签表	15
eb_store_activity_related	qixi_store_activity_related		13
eb_store_attr_template	qixi_store_attr_template	商品规则值(规格)表	4
eb_store_brand	qixi_store_brand	商品品牌表	7
eb_store_brand_category	qixi_store_brand_category	品牌分类表	8
eb_store_cart	qixi_store_cart	购物车表	18
eb_store_cart_price	qixi_store_cart_price		10
eb_store_category	qixi_store_category	商品分类表	12
eb_store_coupon	qixi_store_coupon	优惠券表	22
eb_store_coupon_issue_user	qixi_store_coupon_issue_user	优惠券前台用户领取记录表	3
eb_store_coupon_product	qixi_store_coupon_product	优惠卷关联商品辅助表	3
eb_store_coupon_send	qixi_store_coupon_send	优惠券发送记录	7
eb_store_coupon_user	qixi_store_coupon_user	优惠券发放记录表	15
eb_store_discounts	qixi_store_discounts		19
eb_store_discounts_product	qixi_store_discounts_product		8
eb_store_group	qixi_store_group	分组表	15
eb_store_group_order	qixi_store_group_order	用户订单表	28
eb_store_import	qixi_store_import	导入批次记录	8
eb_store_import_delivery	qixi_store_import_delivery	导入发货单详细记录	10
eb_store_order	qixi_store_order	订单表	66
eb_store_order_product	qixi_store_order_product	订单购物详情表	31
eb_store_order_profitsharing	qixi_store_order_profitsharing	分账表	14
eb_store_order_receipt	qixi_store_order_receipt	订单发票信息	17
eb_store_order_status	qixi_store_order_status	订单操作记录表	9
eb_store_printer	qixi_store_printer		13
eb_store_product	qixi_store_product	商品表	71
eb_store_product_assist	qixi_store_product_assist	商品助力活动表	17
eb_store_product_assist_set	qixi_store_product_assist_set	助力发起列表	13
eb_store_product_assist_sku	qixi_store_product_assist_sku		6
eb_store_product_assist_user	qixi_store_product_assist_user	助力记录表	7
eb_store_product_attr	qixi_store_product_attr	商品属性表	4
eb_store_product_attr_reservation	qixi_store_product_attr_reservation		10
eb_store_product_attr_result	qixi_store_product_attr_result		5
eb_store_product_attr_value	qixi_store_product_attr_value	商品属性值表	23
